Date Changed,Interest rate (%)
02/08/2018,0.75
02/11/2017,0.5
04/08/2016,0.25
05/03/2009,0.5
05/02/2009,1
08/01/2009,1.5
04/12/2008,2
06/11/2008,3
08/10/2008,4.5
10/04/2008,5
07/02/2008,5.25
06/12/2007,5.5
05/07/2007,5.75
10/05/2007,5.5
11/01/2007,5.25
09/11/2006,5
03/08/2006,4.75
04/08/2005,4.5
05/08/2004,4.75
10/06/2004,4.5
06/05/2004,4.25
05/02/2004,4
06/11/2003,3.75
10/07/2003,3.5
06/02/2003,3.75
08/11/2001,4
04/10/2001,4.5
18/09/2001,4.75
02/08/2001,5
10/05/2001,5.25
05/04/2001,5.5
08/02/2001,5.75
10/02/2000,6
